"","X","FlightNum","depart","arrive","dehour","deminute","arhour","arminute","label","locate","city"
"1",1,"HO1322","普吉岛","上海浦东T2",0,5,6,15,0,"国际及港澳台","上海浦东"
"2",2,"MU760","金边","上海浦东T1",0,15,4,55,1,"国际及港澳台","上海浦东"
"3",3,"TG662","曼谷","上海浦东T2",0,30,5,45,2,"国际及港澳台","上海浦东"
"4",4,"QR870","多哈","上海浦东T2",0,45,14,50,3,"国际及港澳台","上海浦东"
"5",5,"TK26","伊斯坦布尔I","上海浦东T2",0,50,15,50,3,"国际及港澳台","上海浦东"
"6",6,"CA5234","伊斯坦布尔I","上海浦东T2",0,50,15,50,3,"国际及港澳台","上海浦东"
"7",7,"QF4062","新加坡","上海浦东T1",0,55,6,25,3,"国际及港澳台","上海浦东"
"8",8,"MU544","新加坡","上海浦东T1",0,55,6,25,3,"国际及港澳台","上海浦东"
"9",9,"OZ987","首尔","上海浦东T2",0,55,1,55,3,"国际及港澳台","上海浦东"
"10",10,"MU584","洛杉矶B","上海浦东T1",1,0,6,10,4,"国际及港澳台","上海浦东"
"11",11,"MU5030","登巴萨","上海浦东T1",1,5,7,20,4,"国际及港澳台","上海浦东"
"12",12,"QR888","多哈","上海浦东T2",1,5,15,10,4,"国际及港澳台","上海浦东"
"13",13,"HO1302","普吉岛","上海浦东T2",1,10,7,25,4,"国际及港澳台","上海浦东"
"14",14,"VA5548","新加坡","上海浦东T2",1,15,6,35,5,"国际及港澳台","上海浦东"
"15",15,"SQ826","新加坡","上海浦东T2",1,15,6,35,5,"国际及港澳台","上海浦东"
"16",16,"HO1352","曼谷","上海浦东T2",1,25,6,45,5,"国际及港澳台","上海浦东"
"17",17,"CA430","孟买","上海浦东T2",1,20,13,25,5,"国际及港澳台","上海浦东"
"18",18,"MU598","温哥华M","上海浦东T1",1,30,5,5,6,"国际及港澳台","上海浦东"
"19",19,"MH386","吉隆坡","上海浦东T2",1,40,7,0,6,"国际及港澳台","上海浦东"
"20",20,"MU548","曼谷","上海浦东T1",1,55,7,5,7,"国际及港澳台","上海浦东"
"21",21,"HO1318","曼谷","上海浦东T2",2,0,6,50,8,"国际及港澳台","上海浦东"
"22",22,"9C8520","甲米","上海浦东T2",2,0,6,55,8,"国际及港澳台","上海浦东"
"23",23,"Z228","卡利博","上海浦东T1",2,5,5,50,8,"国际及港澳台","上海浦东"
"24",24,"9C8892","曼谷","上海浦东T2",2,5,7,35,8,"国际及港澳台","上海浦东"
"25",25,"FM832","普吉岛","上海浦东T1",2,10,7,40,8,"国际及港澳台","上海浦东"
"26",26,"MU9832","普吉岛","上海浦东T1",2,10,7,40,8,"国际及港澳台","上海浦东"
"27",27,"MU282","胡志明市","上海浦东T1",2,25,7,5,9,"国际及港澳台","上海浦东"
"28",28,"VN3522","胡志明市","上海浦东T1",2,25,7,5,9,"国际及港澳台","上海浦东"
"29",29,"EK302","迪拜","上海浦东T2",2,50,15,30,11,"国际及港澳台","上海浦东"
"30",30,"HO1330","甲米","上海浦东T2",3,0,7,45,12,"国际及港澳台","上海浦东"
"31",31,"FM858","普吉岛","上海浦东T1",3,15,8,50,13,"国际及港澳台","上海浦东"
"32",32,"MU9858","普吉岛","上海浦东T1",3,15,8,50,13,"国际及港澳台","上海浦东"
"33",33,"HO1302","普吉岛","上海浦东",3,45,9,45,15,"国际及港澳台","上海浦东"
"34",34,"9C8972","普吉岛","上海浦东T2",4,15,7,55,17,"国际及港澳台","上海浦东"
"35",35,"HO1322","普吉岛","上海浦东",4,45,9,35,19,"国际及港澳台","上海浦东"
"36",36,"MU212","马尼拉","上海浦东T1",4,55,8,15,19,"国际及港澳台","上海浦东"
"37",37,"9C8974","普吉岛","上海浦东T2",5,15,8,45,21,"国际及港澳台","上海浦东"
"38",38,"3U8648","塞班","上海浦东T2",6,10,8,40,24,"国际及港澳台","上海浦东"
"39",39,"HU7609","北京T1","上海浦东T2",6,35,8,45,26,"国际及港澳台","上海浦东"
"40",40,"MF4738","北京T2","上海虹桥T2",6,35,8,40,26,"国际及港澳台","上海虹桥"
"41",41,"MU3658","北京T2","上海虹桥T2",6,35,8,40,26,"国际及港澳台","上海虹桥"
"42",42,"CZ6412","北京T2","上海虹桥T2",6,35,8,40,26,"国际及港澳台","上海虹桥"
"43",43,"CA3246","深圳T3","上海浦东T2",6,45,8,55,27,"国际及港澳台","上海浦东"
"44",44,"MU3966","深圳T3","上海浦东T2",6,45,8,55,27,"国际及港澳台","上海浦东"
"45",45,"HO1154","深圳T3","上海浦东T2",6,45,8,55,27,"国际及港澳台","上海浦东"
"46",46,"ZH5042","深圳T3","上海浦东T2",6,45,8,55,27,"国际及港澳台","上海浦东"
"47",47,"9C8930","广州A区","上海虹桥T1",6,45,9,5,27,"国际及港澳台","上海虹桥"
"48",48,"MU3926","北京T3","上海虹桥T2",6,50,9,5,27,"国际及港澳台","上海虹桥"
"49",49,"CA3202","北京T3","上海虹桥T2",6,50,9,5,27,"国际及港澳台","上海虹桥"
"50",50,"HO1252","北京T3","上海虹桥T2",6,50,9,5,27,"国际及港澳台","上海虹桥"
"51",51,"AA183","拉斯维加斯","上海浦东T2",7,0,16,10,28,"国际及港澳台","上海浦东"
"52",52,"US183","拉斯维加斯","上海浦东T2",7,0,16,10,28,"国际及港澳台","上海浦东"
"53",53,"US183","奥斯汀","上海浦东",7,0,16,10,28,"国际及港澳台","上海浦东"
"54",54,"MU4026","广州A区","上海虹桥T2",7,0,9,20,28,"国际及港澳台","上海虹桥"
"55",55,"CA3210","广州A区","上海虹桥T2",7,0,9,20,28,"国际及港澳台","上海虹桥"
"56",56,"HO1288","广州A区","上海虹桥T2",7,0,9,20,28,"国际及港澳台","上海虹桥"
"57",57,"ZH5016","广州A区","上海虹桥T2",7,0,9,20,28,"国际及港澳台","上海虹桥"
"58",58,"MU5138","北京T2","上海虹桥T2",7,0,9,10,28,"国际及港澳台","上海虹桥"
"59",59,"CZ9307","北京T2","上海虹桥T2",7,0,9,10,28,"国际及港澳台","上海虹桥"
"60",60,"CA4949","重庆T2B","上海虹桥T2",7,0,9,30,28,"国际及港澳台","上海虹桥"
"61",61,"G56003","重庆T2B","上海虹桥T2",7,0,9,30,28,"国际及港澳台","上海虹桥"
"62",62,"SC4949","重庆T2B","上海虹桥T2",7,0,9,30,28,"国际及港澳台","上海虹桥"
"63",63,"MU5046","济州岛I","上海浦东T1",7,15,8,10,29,"国际及港澳台","上海浦东"
"64",64,"HO1708","哈尔滨","上海浦东T1",7,15,10,15,29,"国际及港澳台","上海浦东"
"65",65,"US289","波士顿B","上海浦东T2",7,15,14,5,29,"国际及港澳台","上海浦东"
"66",66,"AA289","波士顿B","上海浦东T2",7,15,14,5,29,"国际及港澳台","上海浦东"
"67",67,"G54135","大连","上海浦东T2",7,20,9,10,29,"国际及港澳台","上海浦东"
"68",68,"CA8953","大连","上海浦东T2",7,20,9,10,29,"国际及港澳台","上海浦东"
"69",69,"MU5402","成都T2","上海浦东T1",7,20,9,55,29,"国际及港澳台","上海浦东"
"70",70,"CZ9474","成都T2","上海浦东T1",7,20,9,55,29,"国际及港澳台","上海浦东"
"71",71,"MU2236","鄂尔多斯","上海浦东T1",7,20,13,15,29,"国际及港澳台","上海浦东"
"72",72,"AA127","华盛顿杜勒斯B","上海浦东T2",7,20,14,55,29,"国际及港澳台","上海浦东"
"73",73,"US127","华盛顿杜勒斯B","上海浦东T2",7,20,14,55,29,"国际及港澳台","上海浦东"
"74",74,"9C8584","济州岛I","上海浦东T2",7,25,8,10,29,"国际及港澳台","上海浦东"
"75",75,"HO1718","大连","上海浦东T1",7,25,9,10,29,"国际及港澳台","上海浦东"
"76",76,"JL5698","深圳T3","上海浦东T1",7,25,9,55,29,"国际及港澳台","上海浦东"
"77",77,"CA4661","青岛T1","上海虹桥T2",7,20,9,0,29,"国际及港澳台","上海虹桥"
"78",78,"SC4661","青岛T1","上海虹桥T2",7,20,9,0,29,"国际及港澳台","上海虹桥"
"79",79,"SC4861","烟台","上海虹桥T2",7,20,9,10,29,"国际及港澳台","上海虹桥"
"80",80,"CA4861","烟台","上海虹桥T2",7,20,9,10,29,"国际及港澳台","上海虹桥"
"81",81,"CA1965","温州","上海浦东T2",7,30,8,35,30,"国际及港澳台","上海浦东"
"82",82,"ZH1965","温州","上海浦东T2",7,30,8,35,30,"国际及港澳台","上海浦东"
"83",83,"KN2315","石家庄T2","上海浦东T1",7,30,9,25,30,"国际及港澳台","上海浦东"
"84",84,"FM726","香港","上海浦东T1",7,30,9,50,30,"国际及港澳台","上海浦东"
"85",85,"HX1726","香港","上海浦东T1",7,30,9,50,30,"国际及港澳台","上海浦东"
"86",86,"MU726","香港","上海浦东T1",7,30,9,50,30,"国际及港澳台","上海浦东"
"87",87,"FM9304","广州B区","上海浦东T1",7,30,9,50,30,"国际及港澳台","上海浦东"
"88",88,"HO1792","重庆T2A","上海浦东T1",7,30,9,45,30,"国际及港澳台","上海浦东"
"89",89,"JL5694","重庆T2A","上海浦东T1",7,30,9,45,30,"国际及港澳台","上海浦东"
"90",90,"QF4038","昆明","上海浦东T1",7,30,10,55,30,"国际及港澳台","上海浦东"
"91",91,"JL5612","昆明","上海浦东T1",7,30,10,55,30,"国际及港澳台","上海浦东"
"92",92,"MU747","昆明","上海浦东T1",7,30,10,55,30,"国际及港澳台","上海浦东"
"93",93,"MU8473","胡志明市","上海浦东T2",7,30,12,40,30,"国际及港澳台","上海浦东"
"94",94,"VN522","胡志明市","上海浦东T2",7,30,12,40,30,"国际及港澳台","上海浦东"
"95",95,"CZ9246","南京T2","上海浦东T1",7,35,8,30,30,"国际及港澳台","上海浦东"
"96",96,"FM9382","桂林","上海浦东T1",7,35,9,50,30,"国际及港澳台","上海浦东"
"97",97,"3U8971","重庆T2A","上海浦东T2",7,35,9,55,30,"国际及港澳台","上海浦东"
"98",98,"QF4014","北京T2","上海浦东T1",7,35,9,50,30,"国际及港澳台","上海浦东"
"99",99,"MU5183","北京T2","上海浦东T1",7,35,9,50,30,"国际及港澳台","上海浦东"
"100",100,"US127","奥兰多","上海浦东",7,40,14,55,30,"国际及港澳台","上海浦东"
"101",101,"HO1712","沈阳T3","上海浦东T1",7,35,9,50,30,"国际及港澳台","上海浦东"
"102",102,"NS8501","厦门T3","上海虹桥T2",7,30,8,50,30,"国际及港澳台","上海虹桥"
"103",103,"CZ5403","厦门T3","上海虹桥T2",7,30,8,50,30,"国际及港澳台","上海虹桥"
"104",104,"MF8501","厦门T3","上海虹桥T2",7,30,8,50,30,"国际及港澳台","上海虹桥"
"105",105,"MU8501","厦门T3","上海虹桥T2",7,30,8,50,30,"国际及港澳台","上海虹桥"
"106",106,"CA1831","北京T3","上海虹桥T2",7,30,9,40,30,"国际及港澳台","上海虹桥"
"107",107,"ZH1831","北京T3","上海虹桥T2",7,30,9,40,30,"国际及港澳台","上海虹桥"
"108",108,"MU9108","北京T2","上海虹桥T2",7,30,9,40,30,"国际及港澳台","上海虹桥"
"109",109,"FM9108","北京T2","上海虹桥T2",7,30,9,40,30,"国际及港澳台","上海虹桥"
"110",110,"9C8956","深圳T3","上海虹桥T1",7,35,9,55,30,"国际及港澳台","上海虹桥"
"111",111,"MU2153","西宁T2","上海虹桥T2",7,35,12,10,30,"国际及港澳台","上海虹桥"
"112",112,"JR2153","西宁T2","上海虹桥T2",7,35,12,10,30,"国际及港澳台","上海虹桥"
"113",113,"TV9881","拉萨","上海虹桥T2",7,35,13,35,30,"国际及港澳台","上海虹桥"
"114",114,"CA3981","拉萨","上海虹桥T2",7,35,13,35,30,"国际及港澳台","上海虹桥"
"115",115,"MU4004","昆明","上海虹桥T2",7,40,10,50,30,"国际及港澳台","上海虹桥"
"116",116,"HO1094","昆明","上海虹桥T2",7,40,10,50,30,"国际及港澳台","上海虹桥"
"117",117,"JL5626","武汉T2","上海浦东T1",7,45,9,15,31,"国际及港澳台","上海浦东"
"118",118,"MU2402","太原T2","上海浦东T1",7,45,9,40,31,"国际及港澳台","上海浦东"
"119",119,"CZ9144","太原T2","上海浦东T1",7,45,9,40,31,"国际及港澳台","上海浦东"
"120",120,"MU2351","兰州T2","上海浦东T1",7,45,10,25,31,"国际及港澳台","上海浦东"
"121",121,"CZ9119","兰州T2","上海浦东T1",7,45,10,25,31,"国际及港澳台","上海浦东"
"122",122,"FM9384","南宁T2","上海浦东T1",7,50,10,35,31,"国际及港澳台","上海浦东"
"123",123,"CZ9395","银川T2","上海浦东T1",7,50,10,20,31,"国际及港澳台","上海浦东"
"124",124,"MF1979","哈尔滨","上海浦东T2",7,50,10,40,31,"国际及港澳台","上海浦东"
"125",125,"CZ6257","哈尔滨","上海浦东T2",7,50,10,40,31,"国际及港澳台","上海浦东"
"126",126,"MU3629","哈尔滨","上海浦东T2",7,50,10,40,31,"国际及港澳台","上海浦东"
"127",127,"FM9258","厦门T4","上海浦东T1",7,55,9,35,31,"国际及港澳台","上海浦东"
"128",128,"MU9258","厦门T4","上海浦东T1",7,55,9,35,31,"国际及港澳台","上海浦东"
"129",129,"HU7789","乌鲁木齐T2","上海浦东T2",7,55,14,20,31,"国际及港澳台","上海浦东"
"130",130,"GS7789","乌鲁木齐T2","上海浦东T2",7,55,14,20,31,"国际及港澳台","上海浦东"
"131",131,"AI348","孟买","上海浦东T2",7,55,20,20,31,"国际及港澳台","上海浦东"
"132",132,"MU3962","深圳T3","上海虹桥T2",7,50,10,5,31,"国际及港澳台","上海虹桥"
"133",133,"ZH5038","深圳T3","上海虹桥T2",7,50,10,5,31,"国际及港澳台","上海虹桥"
"134",134,"HO1152","深圳T3","上海虹桥T2",7,50,10,5,31,"国际及港澳台","上海虹桥"
"135",135,"HU7121","广州A区","上海虹桥T2",7,55,10,0,31,"国际及港澳台","上海虹桥"
"136",136,"MF1709","揭阳","上海虹桥T2",7,55,9,50,31,"国际及港澳台","上海虹桥"
"137",137,"MU3453","揭阳","上海虹桥T2",7,55,9,50,31,"国际及港澳台","上海虹桥"
"138",138,"CZ3851","揭阳","上海虹桥T2",7,55,9,50,31,"国际及港澳台","上海虹桥"
"139",139,"MU2253","西安T3","上海虹桥T2",7,55,11,50,31,"国际及港澳台","上海虹桥"
"140",140,"CZ9498","南昌T2","上海浦东T1",8,0,9,30,32,"国际及港澳台","上海浦东"
"141",141,"B7502","台北松山","上海浦东T2",8,0,10,0,32,"国际及港澳台","上海浦东"
"142",142,"9C8602","名古屋","上海浦东T2",8,0,8,50,32,"国际及港澳台","上海浦东"
"143",143,"MU3673","大连","上海浦东T2",8,0,9,45,32,"国际及港澳台","上海浦东"
"144",144,"CZ6521","大连","上海浦东T2",8,0,9,45,32,"国际及港澳台","上海浦东"
"145",145,"MF4189","大连","上海浦东T2",8,0,9,45,32,"国际及港澳台","上海浦东"
"146",146,"MU3661","沈阳T3","上海浦东T2",8,0,10,20,32,"国际及港澳台","上海浦东"
"147",147,"CZ6503","沈阳T3","上海浦东T2",8,0,10,20,32,"国际及港澳台","上海浦东"
"148",148,"MF4175","沈阳T3","上海浦东T2",8,0,10,20,32,"国际及港澳台","上海浦东"
"149",149,"HU7205","天津","上海浦东T2",8,0,9,55,32,"国际及港澳台","上海浦东"
"150",150,"JL5604","西安T3","上海浦东T1",8,0,9,50,32,"国际及港澳台","上海浦东"
"151",151,"CA1835","北京T3","上海浦东T2",8,0,10,15,32,"国际及港澳台","上海浦东"
"152",152,"ZH1835","北京T3","上海浦东T2",8,0,10,15,32,"国际及港澳台","上海浦东"
"153",153,"MF4209","长春","上海浦东T2",8,0,10,35,32,"国际及港澳台","上海浦东"
"154",154,"MU3685","长春","上海浦东T2",8,0,10,35,32,"国际及港澳台","上海浦东"
"155",155,"CZ6543","长春","上海浦东T2",8,0,10,35,32,"国际及港澳台","上海浦东"
"156",156,"CX5802","香港","上海浦东T2",8,0,10,30,32,"国际及港澳台","上海浦东"
"157",157,"KA802","香港","上海浦东T2",8,0,10,30,32,"国际及港澳台","上海浦东"
"158",158,"FM9070","天津","上海浦东T1",8,0,9,50,32,"国际及港澳台","上海浦东"
"159",159,"FM9160","长春","上海浦东T1",8,0,10,25,32,"国际及港澳台","上海浦东"
"160",160,"FM9460","贵阳","上海浦东T1",8,0,10,20,32,"国际及港澳台","上海浦东"
"161",161,"KY8283","昆明","上海浦东T2",8,0,10,55,32,"国际及港澳台","上海浦东"
"162",162,"ZH3183","昆明","上海浦东T2",8,0,10,55,32,"国际及港澳台","上海浦东"
"163",163,"CA5783","昆明","上海浦东T2",8,0,10,55,32,"国际及港澳台","上海浦东"
"164",164,"3U8961","成都T1","上海浦东T2",8,0,10,35,32,"国际及港澳台","上海浦东"
"165",165,"HO1760","长沙T2","上海浦东T1",8,5,9,55,32,"国际及港澳台","上海浦东"
"166",166,"CZ9782","长沙T2","上海浦东T1",8,5,9,55,32,"国际及港澳台","上海浦东"
"167",167,"FM9328","郑州","上海浦东T1",8,5,9,40,32,"国际及港澳台","上海浦东"
"168",168,"VA5550","新加坡","上海浦东T2",8,5,13,25,32,"国际及港澳台","上海浦东"
"169",169,"SQ828","新加坡","上海浦东T2",8,5,13,25,32,"国际及港澳台","上海浦东"
"170",170,"MU4407","西安T3","上海浦东T2",8,10,10,25,32,"国际及港澳台","上海浦东"
"171",171,"MF4993","西安T3","上海浦东T2",8,10,10,25,32,"国际及港澳台","上海浦东"
"172",172,"CZ6615","西安T3","上海浦东T2",8,10,10,25,32,"国际及港澳台","上海浦东"
"173",173,"HO1335","银川T2","上海浦东T2",8,10,11,0,32,"国际及港澳台","上海浦东"
"174",174,"CZ6753","三亚","上海浦东T2",8,10,10,55,32,"国际及港澳台","上海浦东"
"175",175,"MF4389","三亚","上海浦东T2",8,10,10,55,32,"国际及港澳台","上海浦东"
"176",176,"MU4459","三亚","上海浦东T2",8,10,10,55,32,"国际及港澳台","上海浦东"
"177",177,"GS6471","海口","上海浦东T2",8,10,12,5,32,"国际及港澳台","上海浦东"
"178",178,"MF8573","福州","上海虹桥T2",8,0,9,10,32,"国际及港澳台","上海虹桥"
"179",179,"CZ5465","福州","上海虹桥T2",8,0,9,10,32,"国际及港澳台","上海虹桥"
"180",180,"NS8573","福州","上海虹桥T2",8,0,9,10,32,"国际及港澳台","上海虹桥"
"181",181,"MU8525","福州","上海虹桥T2",8,0,9,10,32,"国际及港澳台","上海虹桥"
"182",182,"MF1817","长沙T2","上海虹桥T2",8,0,9,50,32,"国际及港澳台","上海虹桥"
"183",183,"CZ3965","长沙T2","上海虹桥T2",8,0,9,50,32,"国际及港澳台","上海虹桥"
"184",184,"MU3526","长沙T2","上海虹桥T2",8,0,9,50,32,"国际及港澳台","上海虹桥"
"185",185,"MF1403","广州B区","上海虹桥T2",8,0,10,25,32,"国际及港澳台","上海虹桥"
"186",186,"MU3263","广州B区","上海虹桥T2",8,0,10,25,32,"国际及港澳台","上海虹桥"
"187",187,"CZ3523","广州B区","上海虹桥T2",8,0,10,25,32,"国际及港澳台","上海虹桥"
"188",188,"CZ9271","北京T2","上海虹桥T2",8,0,10,10,32,"国际及港澳台","上海虹桥"
"189",189,"MU5102","北京T2","上海虹桥T2",8,0,10,10,32,"国际及港澳台","上海虹桥"
"190",190,"MU5801","昆明","上海虹桥T2",8,0,10,55,32,"国际及港澳台","上海虹桥"
"191",191,"CZ9673","昆明","上海虹桥T2",8,0,10,55,32,"国际及港澳台","上海虹桥"
"192",192,"CZ9517","青岛T2","上海虹桥T2",8,5,9,35,32,"国际及港澳台","上海虹桥"
"193",193,"MU5514","青岛T2","上海虹桥T2",8,5,9,35,32,"国际及港澳台","上海虹桥"
"194",194,"ZH1533","天津T2","上海虹桥T2",8,5,9,55,32,"国际及港澳台","上海虹桥"
"195",195,"CA1533","天津T2","上海虹桥T2",8,5,9,55,32,"国际及港澳台","上海虹桥"
"196",196,"HO1772","成都T2","上海虹桥T2",8,5,10,40,32,"国际及港澳台","上海虹桥"
"197",197,"MU5404","成都T2","上海虹桥T2",8,5,10,40,32,"国际及港澳台","上海虹桥"
"198",198,"CZ9475","成都T2","上海虹桥T2",8,5,10,40,32,"国际及港澳台","上海虹桥"
"199",199,"G54067","重庆T2B","上海虹桥T2",8,10,10,35,32,"国际及港澳台","上海虹桥"
"200",200,"CA4543","重庆T2B","上海虹桥T2",8,10,10,35,32,"国际及港澳台","上海虹桥"
"201",201,"TV6601","重庆T2B","上海虹桥T2",8,10,10,35,32,"国际及港澳台","上海虹桥"
"202",202,"ZH4543","重庆T2B","上海虹桥T2",8,10,10,35,32,"国际及港澳台","上海虹桥"
"203",203,"SC4543","重庆T2B","上海虹桥T2",8,10,10,35,32,"国际及港澳台","上海虹桥"
"204",204,"HO1906","重庆T2B","上海虹桥T2",8,10,10,35,32,"国际及港澳台","上海虹桥"
"205",205,"GS6661","天津T2","上海虹桥T2",8,10,10,5,32,"国际及港澳台","上海虹桥"
"206",206,"TV6501","成都T2","上海虹桥T2",8,10,10,50,32,"国际及港澳台","上海虹桥"
"207",207,"ZH4515","成都T2","上海虹桥T2",8,10,10,50,32,"国际及港澳台","上海虹桥"
"208",208,"CA4515","成都T2","上海虹桥T2",8,10,10,50,32,"国际及港澳台","上海虹桥"
"209",209,"NS3219","石家庄T2","上海虹桥T2",8,10,10,10,32,"国际及港澳台","上海虹桥"
"210",210,"MF7047","石家庄T2","上海虹桥T2",8,10,10,10,32,"国际及港澳台","上海虹桥"
"211",211,"MU8979","香港","上海浦东T2",8,15,10,50,33,"国际及港澳台","上海浦东"
"212",212,"FM8236","香港","上海浦东T2",8,15,10,50,33,"国际及港澳台","上海浦东"
"213",213,"HX236","香港","上海浦东T2",8,15,10,50,33,"国际及港澳台","上海浦东"
"214",214,"GS6469","大连","上海浦东T2",8,20,11,20,33,"国际及港澳台","上海浦东"
"215",215,"JR2155","榆林","上海浦东T1",8,20,13,15,33,"国际及港澳台","上海浦东"
"216",216,"MU2155","榆林","上海浦东T1",8,20,13,15,33,"国际及港澳台","上海浦东"
"217",217,"HU7207","太原T1","上海浦东T2",8,25,10,40,33,"国际及港澳台","上海浦东"
"218",218,"SC4667","青岛T1","上海虹桥T2",8,15,9,55,33,"国际及港澳台","上海虹桥"
"219",219,"CA4667","青岛T1","上海虹桥T2",8,15,9,55,33,"国际及港澳台","上海虹桥"
"220",220,"CZ3907","北京T2","上海虹桥T2",8,20,10,45,33,"国际及港澳台","上海虹桥"
"221",221,"MF1763","北京T2","上海虹桥T2",8,20,10,45,33,"国际及港澳台","上海虹桥"
"222",222,"MU3491","北京T2","上海虹桥T2",8,20,10,45,33,"国际及港澳台","上海虹桥"
"223",223,"MF1529","贵阳T2","上海虹桥T2",8,20,10,35,33,"国际及港澳台","上海虹桥"
"224",224,"MU3343","贵阳T2","上海虹桥T2",8,20,10,35,33,"国际及港澳台","上海虹桥"
"225",225,"CZ3651","贵阳T2","上海虹桥T2",8,20,10,35,33,"国际及港澳台","上海虹桥"
"226",226,"MF1475","郑州","上海虹桥T2",8,25,10,5,33,"国际及港澳台","上海虹桥"
"227",227,"CZ3591","郑州","上海虹桥T2",8,25,10,5,33,"国际及港澳台","上海虹桥"
"228",228,"MU3313","郑州","上海虹桥T2",8,25,10,5,33,"国际及港澳台","上海虹桥"
"229",229,"MU5302","广州B区","上海虹桥T2",8,25,10,45,33,"国际及港澳台","上海虹桥"
"230",230,"CZ9409","广州B区","上海虹桥T2",8,25,10,45,33,"国际及港澳台","上海虹桥"
"231",231,"HU7605","北京T1","上海虹桥T2",8,25,10,30,33,"国际及港澳台","上海虹桥"
"232",232,"CZ9500","合肥","上海浦东T1",8,30,9,30,34,"国际及港澳台","上海浦东"
"233",233,"MU3255","海口","上海浦东T2",8,30,11,10,34,"国际及港澳台","上海浦东"
"234",234,"MF1395","海口","上海浦东T2",8,30,11,10,34,"国际及港澳台","上海浦东"
"235",235,"CZ3515","海口","上海浦东T2",8,30,11,10,34,"国际及港澳台","上海浦东"
"236",236,"CX368","香港","上海浦东T2",8,40,11,10,34,"国际及港澳台","上海浦东"
"237",237,"KA5368","香港","上海浦东T2",8,40,11,10,34,"国际及港澳台","上海浦东"
"238",238,"CZ9191","武汉T2","上海虹桥T2",8,30,9,55,34,"国际及港澳台","上海虹桥"
"239",239,"MU2501","武汉T2","上海虹桥T2",8,30,9,55,34,"国际及港澳台","上海虹桥"
"240",240,"CA1501","北京T3","上海虹桥T2",8,30,10,40,34,"国际及港澳台","上海虹桥"
"241",241,"ZH1501","北京T3","上海虹桥T2",8,30,10,40,34,"国际及港澳台","上海虹桥"
"242",242,"HA3822","北京T3","上海虹桥T2",8,30,10,40,34,"国际及港澳台","上海虹桥"
"243",243,"MF4615","乌鲁木齐T3","上海虹桥T2",8,30,12,50,34,"国际及港澳台","上海虹桥"
"244",244,"CZ6995","乌鲁木齐T3","上海虹桥T2",8,30,12,50,34,"国际及港澳台","上海虹桥"
"245",245,"MU4601","乌鲁木齐T3","上海虹桥T2",8,30,12,50,34,"国际及港澳台","上海虹桥"
"246",246,"8L9887","昆明","上海虹桥T2",8,40,13,5,34,"国际及港澳台","上海虹桥"
"247",247,"FM8752","首尔","上海浦东T1",8,45,9,40,35,"国际及港澳台","上海浦东"
"248",248,"MU8357","首尔","上海浦东T1",8,45,9,40,35,"国际及港澳台","上海浦东"
"249",249,"KE893","首尔","上海浦东T1",8,45,9,40,35,"国际及港澳台","上海浦东"
"250",250,"MU8381","釜山I","上海浦东T1",8,45,9,25,35,"国际及港澳台","上海浦东"
"251",251,"KE875","釜山I","上海浦东T1",8,45,9,25,35,"国际及港澳台","上海浦东"
"252",252,"FM8760","釜山I","上海浦东T1",8,45,9,25,35,"国际及港澳台","上海浦东"
"253",253,"CZ3751","珠海","上海浦东T2",8,45,10,55,35,"国际及港澳台","上海浦东"
"254",254,"MF1619","珠海","上海浦东T2",8,45,10,55,35,"国际及港澳台","上海浦东"
"255",255,"MU3403","珠海","上海浦东T2",8,45,10,55,35,"国际及港澳台","上海浦东"
"256",256,"KE5879","首尔A","上海浦东T1",8,55,9,45,35,"国际及港澳台","上海浦东"
"257",257,"FM5052","首尔A","上海浦东T1",8,55,9,45,35,"国际及港澳台","上海浦东"
"258",258,"MU5052","首尔A","上海浦东T1",8,55,9,45,35,"国际及港澳台","上海浦东"
"259",259,"FU6519","福州","上海浦东",8,55,10,25,35,"国际及港澳台","上海浦东"
"260",260,"JL5621","名古屋","上海浦东T1",8,55,10,20,35,"国际及港澳台","上海浦东"
"261",261,"NH5711","东京成田","上海浦东T2",8,55,11,30,35,"国际及港澳台","上海浦东"
"262",262,"CA158","东京成田","上海浦东T2",8,55,11,30,35,"国际及港澳台","上海浦东"
"263",263,"MU5424","重庆T2A","上海浦东T1",8,55,11,20,35,"国际及港澳台","上海浦东"
"264",264,"HO1790","重庆T2A","上海浦东T1",8,55,11,20,35,"国际及港澳台","上海浦东"
"265",265,"CZ9482","重庆T2A","上海浦东T1",8,55,11,20,35,"国际及港澳台","上海浦东"
"266",266,"MU9749","大理","上海虹桥T2",8,45,11,55,35,"国际及港澳台","上海虹桥"
"267",267,"HO1732","青岛T2","上海虹桥T2",8,50,10,20,35,"国际及港澳台","上海虹桥"
"268",268,"MU5516","青岛T2","上海虹桥T2",8,50,10,20,35,"国际及港澳台","上海虹桥"
"269",269,"CZ9519","青岛T2","上海虹桥T2",8,50,10,20,35,"国际及港澳台","上海虹桥"
"270",270,"CZ9688","天津T2","上海虹桥T2",8,50,10,45,35,"国际及港澳台","上海虹桥"
"271",271,"MU5826","天津T2","上海虹桥T2",8,50,10,45,35,"国际及港澳台","上海虹桥"
"272",272,"9C8816","厦门T4","上海虹桥T1",8,55,10,35,35,"国际及港澳台","上海虹桥"
"273",273,"MU5518","哈尔滨","上海虹桥T2",8,55,13,5,35,"国际及港澳台","上海虹桥"
